Date,Price,Open,High,Low,Vol.,Change 
09/01/2012,1.2078,1.2011,1.2191,1.1998,,0.56
08/01/2012,1.2011,1.2013,1.2054,1.1985,,0.02
07/01/2012,1.2009,1.2015,1.2045,1.1988,,0.04
06/01/2012,1.2004,1.2010,1.2052,1.1983,,-0.02
05/01/2012,1.2007,1.2014,1.2081,1.1968,,-0.03
04/01/2012,1.2011,1.2028,1.2057,1.1995,,-0.20
03/01/2012,1.2035,1.2047,1.2151,1.2026,,-0.09
02/01/2012,1.2046,1.2038,1.2136,1.2026,,0.11
01/01/2012,1.2033,1.2142,1.2205,1.2027,,-0.82
12/01/2011,1.2133,1.2273,1.2447,1.2130,,-1.17
11/01/2011,1.2277,1.2149,1.2464,1.2111,,1.02
10/01/2011,1.2153,1.2135,1.2478,1.2120,,0.02
09/01/2011,1.2151,1.1590,1.2347,1.0996,,4.89
08/01/2011,1.1585,1.1375,1.1974,1.0092,,2.49
07/01/2011,1.1303,1.2186,1.2352,1.1296,,-7.24
06/01/2011,1.2185,1.2291,1.2328,1.1804,,-0.81
05/01/2011,1.2285,1.2816,1.2950,1.2098,,-4.03
04/01/2011,1.2801,1.3009,1.3241,1.2723,,-1.60
03/01/2011,1.3009,1.2818,1.3046,1.2479,,1.44
02/01/2011,1.2824,1.2928,1.3210,1.2705,,-0.75
01/01/2011,1.2921,1.2475,1.3126,1.2410,,3.41
12/01/2010,1.2495,1.3045,1.3216,1.2407,,-4.14
11/01/2010,1.3034,1.3718,1.3843,1.2930,,-4.87
10/01/2010,1.3701,1.3402,1.3742,1.3260,,2.30
09/01/2010,1.3393,1.2874,1.3412,1.2763,,4.03
08/01/2010,1.2874,1.3588,1.3927,1.2848,,-5.28
07/01/2010,1.3592,1.3183,1.3825,1.3074,,3.09
06/01/2010,1.3185,1.4222,1.4228,1.3166,,-7.23
05/01/2010,1.4213,1.4340,1.4607,1.3954,,-0.82
04/01/2010,1.4331,1.4245,1.4475,1.4143,,0.63
03/01/2010,1.4241,1.4634,1.4656,1.4202,,-2.66
02/01/2010,1.4630,1.4700,1.4814,1.4558,,-0.52
01/01/2010,1.4706,1.4818,1.4900,1.4628,,-0.82
12/01/2009,1.4828,1.5084,1.5146,1.4814,,-1.72
11/01/2009,1.5088,1.5099,1.5159,1.5006,,-0.13
10/01/2009,1.5108,1.5169,1.5215,1.5079,,-0.37
09/01/2009,1.5164,1.5182,1.5250,1.5073,,-0.12
08/01/2009,1.5182,1.5245,1.5371,1.5126,,-0.30
