Date,Price,Open,High,Low,Vol.,Change 
04/01/2003,4.652,4.590,4.670,4.560,23.32,3.96
03/01/2003,4.475,4.600,4.710,4.340,182.62,-2.55
02/01/2003,4.592,4.730,4.730,4.505,0.01,-5.63
01/01/2003,4.866,4.790,4.950,4.720,229.18,1.12
12/01/2002,4.812,4.730,4.820,4.650,25.64,8.70
11/01/2002,4.427,4.585,4.585,4.470,0.01,-1.93
10/01/2002,4.514,4.550,4.555,4.280,166.56,-0.75
09/01/2002,4.548,4.460,4.585,4.460,5.88,2.16
08/01/2002,4.452,4.525,4.585,4.520,9.04,-3.47
07/01/2002,4.612,4.855,5.155,4.595,231.54,-5.01
06/01/2002,4.855,5.410,5.410,4.825,21.80,-3.90
05/01/2002,5.052,4.560,5.010,4.520,188.68,10.91
04/01/2002,4.555,4.750,4.750,4.400,25.28,-2.17
03/01/2002,4.656,4.515,4.690,4.450,135.93,3.08
02/01/2002,4.517,4.440,4.520,4.415,23.25,6.78
01/01/2002,4.230,4.575,4.775,4.225,212.25,-7.80
12/01/2001,4.588,4.155,4.635,4.145,30.66,10.37
11/01/2001,4.157,4.105,4.195,4.030,22.04,-1.93
10/01/2001,4.239,4.665,4.730,4.185,169.38,-9.33
09/01/2001,4.675,4.615,4.680,4.560,19.24,11.50
08/01/2001,4.193,4.125,4.255,4.120,14.34,-1.18
07/01/2001,4.243,4.330,4.340,4.190,91.76,-1.94
06/01/2001,4.327,4.350,4.360,4.315,19.47,-2.28
05/01/2001,4.428,4.365,4.690,4.315,167.97,1.61
04/01/2001,4.358,4.415,4.440,4.350,20.52,1.00
03/01/2001,4.315,4.520,4.555,4.290,124.30,-4.43
02/01/2001,4.515,4.505,4.580,4.445,26.84,-7.06
01/01/2001,4.858,4.640,4.910,4.535,145.16,4.81
12/01/2000,4.635,4.645,4.650,4.605,6.49,-2.07
11/01/2000,4.733,4.770,4.785,4.650,29.27,-1.31
10/01/2000,4.796,4.955,4.985,4.730,125.07,-3.07
09/01/2000,4.948,5.020,5.025,4.915,18.45,-1.47
08/01/2000,5.022,5.000,5.015,4.965,19.18,-1.36
07/01/2000,5.091,5.055,5.100,4.950,146.45,0.16
06/01/2000,5.083,5.065,5.120,5.000,40.70,1.93
05/01/2000,4.987,5.025,5.190,4.920,186.71,-0.56
04/01/2000,5.015,5.060,5.060,4.975,24.60,-0.93
03/01/2000,5.062,5.125,5.210,4.965,186.14,-0.90
02/01/2000,5.108,5.110,5.150,5.090,32.52,-4.00
01/01/2000,5.321,5.420,5.470,5.125,204.63,-2.42
